?s	?nap_id	?class	?napralert_code	?name	?eq	?comment	?partof	?subclasses
<https://www.napralert.org/data/animal/1>	1	<http://www.w3.org/2002/07/owl#Class>	BF	BULLFROG		Not precise enough, had to put the order only, will have to check publications more precisely (J.B.)		NCBITaxon_8342
<https://www.napralert.org/data/animal/47>	47	<http://www.w3.org/2002/07/owl#Class>	SB	SHEEP				NCBITaxon_9940
<https://www.napralert.org/data/animal/82>	82	<http://www.w3.org/2002/07/owl#Class>	A5	CARP				NCBITaxon_7953
<https://www.napralert.org/data/animal/206>	206	<http://www.w3.org/2002/07/owl#Class>	HW	RAT(NBR)				NCBITaxon_10114
<https://www.napralert.org/data/animal/115>	115	<http://www.w3.org/2002/07/owl#Class>	BT	BULL				PATO_0002366|NCBITaxon_9913
<https://www.napralert.org/data/animal/125>	125	<http://www.w3.org/2002/07/owl#Class>	C8	COCKATIEL				NCBITaxon_13180
<https://www.napralert.org/data/animal/246>	246	<http://www.w3.org/2002/07/owl#Class>	MJ	MOUSE(PRE-PUBERTAL)				PATO_0000309|NCBITaxon_10088
<https://www.napralert.org/data/animal/70>	70	<http://www.w3.org/2002/07/owl#Class>	TW	LYTECHINUS PICTUS				NCBITaxon_7653
<https://www.napralert.org/data/animal/207>	207	<http://www.w3.org/2002/07/owl#Class>	HX	HYRAX				NCBITaxon_9810
<https://www.napralert.org/data/animal/80>	80	<http://www.w3.org/2002/07/owl#Class>	A3	PERCH				NCBITaxon_8166
<https://www.napralert.org/data/animal/191>	191	<http://www.w3.org/2002/07/owl#Class>	HA	HAMSTER				NCBITaxon_10026
<https://www.napralert.org/data/animal/193>	193	<http://www.w3.org/2002/07/owl#Class>	HC	HUMAN CHILD				UBERON_0007021|NCBITaxon_9606
<https://www.napralert.org/data/animal/4>	4	<http://www.w3.org/2002/07/owl#Class>	M	MOUSE				NCBITaxon_10088
<https://www.napralert.org/data/animal/128>	128	<http://www.w3.org/2002/07/owl#Class>	CB	CODFISH				NCBITaxon_8048
<https://www.napralert.org/data/animal/40>	40	<http://www.w3.org/2002/07/owl#Class>	RM	RAM(CASTRATE)				NCBITaxon_9940|PATO_0002367
<https://www.napralert.org/data/animal/25>	25	<http://www.w3.org/2002/07/owl#Class>	PS	LIVESTOCK(PREGNANT)				UBERON_0009097
<https://www.napralert.org/data/animal/269>	269	<http://www.w3.org/2002/07/owl#Class>	OE	EWE(OVARIECTOMIZED)				NCBITaxon_9940|PATO_0000383|PATO_0002380
<https://www.napralert.org/data/animal/45>	45	<http://www.w3.org/2002/07/owl#Class>	RT	RAINBOW TROUT				NCBITaxon_8022
<https://www.napralert.org/data/animal/221>	221	<http://www.w3.org/2002/07/owl#Class>	LC	LOCUST				NCBITaxon_7002
<https://www.napralert.org/data/animal/256>	256	<http://www.w3.org/2002/07/owl#Class>	MU	SUNCUS MURINUS				NCBITaxon_9378
<https://www.napralert.org/data/animal/257>	257	<http://www.w3.org/2002/07/owl#Class>	MV	VOLE				NCBITaxon_39087
<https://www.napralert.org/data/animal/134>	134	<http://www.w3.org/2002/07/owl#Class>	CH	CHICKEN				NCBITaxon_9031
<https://www.napralert.org/data/animal/198>	198	<http://www.w3.org/2002/07/owl#Class>	HJ	HYDRA JAPONICA				NCBITaxon_795126
<https://www.napralert.org/data/animal/230>	230	<http://www.w3.org/2002/07/owl#Class>	M2	MEMBRANIPORA MEMBRANACEA				NCBITaxon_95170
<https://www.napralert.org/data/animal/190>	190	<http://www.w3.org/2002/07/owl#Class>	GW	GUINEA PIG(PREGNANT)				NCBITaxon_10141|UBERON_0009097
<https://www.napralert.org/data/animal/89>	89	<http://www.w3.org/2002/07/owl#Class>	AC	RAT(IMMATURE)				UBERON_0007021|NCBITaxon_10114
<https://www.napralert.org/data/animal/245>	245	<http://www.w3.org/2002/07/owl#Class>	MH	MUSCA AUTUMNALIS				NCBITaxon_221902
<https://www.napralert.org/data/animal/160>	160	<http://www.w3.org/2002/07/owl#Class>	DT	DEER(PREGNANT)				UBERON_0009097|NCBITaxon_9850
